competition,discipline,judge,judge_country
ec2025_protocol,PAIRS SHORT PROGRAM,J1,ISU
ec2025_protocol,PAIRS SHORT PROGRAM,J2,ISU
ec2025_protocol,PAIRS SHORT PROGRAM,J3,ISU
ec2025_protocol,PAIRS SHORT PROGRAM,J4,ISU
ec2025_protocol,PAIRS SHORT PROGRAM,J5,ISU
ec2025_protocol,PAIRS SHORT PROGRAM,J6,ISU
ec2025_protocol,PAIRS SHORT PROGRAM,J7,ISU
ec2025_protocol,PAIRS SHORT PROGRAM,J8,ISU
ec2025_protocol,PAIRS SHORT PROGRAM,J9,ISU
ec2025_protocol,PAIRS FREE SKATING,J1,ISU
ec2025_protocol,PAIRS FREE SKATING,J2,ISU
ec2025_protocol,PAIRS FREE SKATING,J3,ISU
ec2025_protocol,PAIRS FREE SKATING,J4,ISU
ec2025_protocol,PAIRS FREE SKATING,J5,ISU
ec2025_protocol,PAIRS FREE SKATING,J6,ISU
ec2025_protocol,PAIRS FREE SKATING,J7,ISU
ec2025_protocol,PAIRS FREE SKATING,J8,ISU
ec2025_protocol,PAIRS FREE SKATING,J9,ISU
ec2025_protocol,WOMEN SHORT PROGRAM,J1,ISU
ec2025_protocol,WOMEN SHORT PROGRAM,J2,ISU
ec2025_protocol,WOMEN SHORT PROGRAM,J3,ISU
ec2025_protocol,WOMEN SHORT PROGRAM,J4,ISU
ec2025_protocol,WOMEN SHORT PROGRAM,J5,ISU
ec2025_protocol,WOMEN SHORT PROGRAM,J6,ISU
ec2025_protocol,WOMEN SHORT PROGRAM,J7,ISU
ec2025_protocol,WOMEN SHORT PROGRAM,J8,ISU
ec2025_protocol,WOMEN SHORT PROGRAM,J9,ISU
ec2025_protocol,WOMEN FREE SKATING,J1,ISU
ec2025_protocol,WOMEN FREE SKATING,J2,ISU
ec2025_protocol,WOMEN FREE SKATING,J3,ISU
ec2025_protocol,WOMEN FREE SKATING,J4,ISU
ec2025_protocol,WOMEN FREE SKATING,J5,ISU
ec2025_protocol,WOMEN FREE SKATING,J6,ISU
