aspect_id,judge,score
b147ee4781,J1,2
b147ee4781,J2,3
b147ee4781,J3,-1
b147ee4781,J4,1
b147ee4781,J5,-1
b147ee4781,J6,1
b147ee4781,J7,1
b147ee4781,J8,0
b147ee4781,J9,2
75bda85c2e,J1,-3
75bda85c2e,J2,-3
75bda85c2e,J3,-4
75bda85c2e,J4,-4
75bda85c2e,J5,-3
75bda85c2e,J6,-3
75bda85c2e,J7,-3
75bda85c2e,J8,-3
75bda85c2e,J9,-3
01ec163ae6,J1,3
01ec163ae6,J2,2
01ec163ae6,J3,2
01ec163ae6,J4,1
01ec163ae6,J5,2
01ec163ae6,J6,2
01ec163ae6,J7,2
01ec163ae6,J8,2
01ec163ae6,J9,3
a088752d90,J1,3
a088752d90,J2,3
a088752d90,J3,2
a088752d90,J4,2
a088752d90,J5,3
a088752d90,J6,2
a088752d90,J7,3
a088752d90,J8,3
a088752d90,J9,3
07f3de3846,J1,2
07f3de3846,J2,3
07f3de3846,J3,3
07f3de3846,J4,3
07f3de3846,J5,2
07f3de3846,J6,3
07f3de3846,J7,3
07f3de3846,J8,3
07f3de3846,J9,3
04dd0b5cdc,J1,2
04dd0b5cdc,J2,3
04dd0b5cdc,J3,2
04dd0b5cdc,J4,2
04dd0b5cdc,J5,2
04dd0b5cdc,J6,2
04dd0b5cdc,J7,3
04dd0b5cdc,J8,3
04dd0b5cdc,J9,3
df5e27bb4e,J1,2
df5e27bb4e,J2,3
df5e27bb4e,J3,2
df5e27bb4e,J4,2
df5e27bb4e,J5,1
df5e27bb4e,J6,2
df5e27bb4e,J7,2
df5e27bb4e,J8,3
df5e27bb4e,J9,3
0b89855fea,J1,8.75
0b89855fea,J2,8.5
0b89855fea,J3,8.25
0b89855fea,J4,7.75
0b89855fea,J5,7.75
0b89855fea,J6,9.0
0b89855fea,J7,8.25
0b89855fea,J8,8.25
0b89855fea,J9,8.75
f7aff6b3d3,J1,8.75
f7aff6b3d3,J2,8.5
f7aff6b3d3,J3,8.25
f7aff6b3d3,J4,8.0
f7aff6b3d3,J5,6.75
f7aff6b3d3,J6,9.0
f7aff6b3d3,J7,8.25
f7aff6b3d3,J8,8.5
f7aff6b3d3,J9,9.0
6d264a84bd,J1,8.5
6d264a84bd,J2,8.25
6d264a84bd,J3,8.0
6d264a84bd,J4,7.75
6d264a84bd,J5,7.5
6d264a84bd,J6,8.75
6d264a84bd,J7,8.0
6d264a84bd,J8,8.0
6d264a84bd,J9,9.0
29287c5935,J1,2
29287c5935,J2,3
29287c5935,J3,2
29287c5935,J4,2
29287c5935,J5,3
29287c5935,J6,3
29287c5935,J7,3
29287c5935,J8,2
29287c5935,J9,2
715ad1cb2a,J1,2
715ad1cb2a,J2,3
715ad1cb2a,J3,3
715ad1cb2a,J4,1
715ad1cb2a,J5,3
715ad1cb2a,J6,2
715ad1cb2a,J7,2
715ad1cb2a,J8,2
715ad1cb2a,J9,2
0f99f7ce49,J1,-1
0f99f7ce49,J2,-1
0f99f7ce49,J3,-1
0f99f7ce49,J4,0
0f99f7ce49,J5,-2
0f99f7ce49,J6,-2
0f99f7ce49,J7,0
0f99f7ce49,J8,-2
0f99f7ce49,J9,-2
3261f02d95,J1,3
3261f02d95,J2,3
3261f02d95,J3,1
3261f02d95,J4,2
3261f02d95,J5,2
3261f02d95,J6,2
3261f02d95,J7,2
3261f02d95,J8,2
3261f02d95,J9,2
3f50a6c116,J1,2
3f50a6c116,J2,2
3f50a6c116,J3,-1
3f50a6c116,J4,1
3f50a6c116,J5,0
3f50a6c116,J6,0
3f50a6c116,J7,2
3f50a6c116,J8,-1
3f50a6c116,J9,0
54951c81d6,J1,2
54951c81d6,J2,3
54951c81d6,J3,1
54951c81d6,J4,1
54951c81d6,J5,1
54951c81d6,J6,1
54951c81d6,J7,2
54951c81d6,J8,0
54951c81d6,J9,0
f3fbc14f7f,J1,2
f3fbc14f7f,J2,3
f3fbc14f7f,J3,2
f3fbc14f7f,J4,1
f3fbc14f7f,J5,2
f3fbc14f7f,J6,1
f3fbc14f7f,J7,2
f3fbc14f7f,J8,2
f3fbc14f7f,J9,2
89a347fc6b,J1,8.5
89a347fc6b,J2,8.25
89a347fc6b,J3,7.5
89a347fc6b,J4,7.0
89a347fc6b,J5,7.5
89a347fc6b,J6,8.0
89a347fc6b,J7,7.5
89a347fc6b,J8,7.25
89a347fc6b,J9,7.0
8e9986dc4a,J1,8.25
8e9986dc4a,J2,8.5
8e9986dc4a,J3,7.25
8e9986dc4a,J4,7.25
8e9986dc4a,J5,7.5
8e9986dc4a,J6,8.0
8e9986dc4a,J7,7.5
8e9986dc4a,J8,7.0
8e9986dc4a,J9,7.0
bc6f4df8ff,J1,8.25
bc6f4df8ff,J2,8.5
bc6f4df8ff,J3,7.75
bc6f4df8ff,J4,7.0
bc6f4df8ff,J5,7.75
bc6f4df8ff,J6,8.25
bc6f4df8ff,J7,7.5
bc6f4df8ff,J8,7.25
bc6f4df8ff,J9,7.25
4f80078b25,J1,2
4f80078b25,J2,1
4f80078b25,J3,2
4f80078b25,J4,1
4f80078b25,J5,2
4f80078b25,J6,1
4f80078b25,J7,2
4f80078b25,J8,1
4f80078b25,J9,2
030ad42ab7,J1,2
030ad42ab7,J2,1
030ad42ab7,J3,1
030ad42ab7,J4,1
030ad42ab7,J5,2
030ad42ab7,J6,0
030ad42ab7,J7,1
030ad42ab7,J8,2
030ad42ab7,J9,2
ff909adf82,J1,3
ff909adf82,J2,3
ff909adf82,J3,2
ff909adf82,J4,2
ff909adf82,J5,2
ff909adf82,J6,1
ff909adf82,J7,2
ff909adf82,J8,2
ff909adf82,J9,2
10106b6c8d,J1,2
10106b6c8d,J2,3
10106b6c8d,J3,2
10106b6c8d,J4,3
10106b6c8d,J5,3
10106b6c8d,J6,2
10106b6c8d,J7,2
10106b6c8d,J8,3
10106b6c8d,J9,3
4b51b71417,J1,2
4b51b71417,J2,2
4b51b71417,J3,1
4b51b71417,J4,0
4b51b71417,J5,1
4b51b71417,J6,1
4b51b71417,J7,1
4b51b71417,J8,1
4b51b71417,J9,1
d961a146bd,J1,2
d961a146bd,J2,1
d961a146bd,J3,2
d961a146bd,J4,2
d961a146bd,J5,2
d961a146bd,J6,1
d961a146bd,J7,2
d961a146bd,J8,1
d961a146bd,J9,1
59a059efd7,J1,2
59a059efd7,J2,1
59a059efd7,J3,0
59a059efd7,J4,1
59a059efd7,J5,2
59a059efd7,J6,0
59a059efd7,J7,1
59a059efd7,J8,1
59a059efd7,J9,1
29a8dbad0b,J1,8.25
29a8dbad0b,J2,7.75
29a8dbad0b,J3,7.25
29a8dbad0b,J4,7.0
29a8dbad0b,J5,7.25
29a8dbad0b,J6,7.25
29a8dbad0b,J7,7.25
29a8dbad0b,J8,7.25
29a8dbad0b,J9,7.25
b742a5a92b,J1,8.0
b742a5a92b,J2,7.75
b742a5a92b,J3,6.75
b742a5a92b,J4,7.25
b742a5a92b,J5,7.25
b742a5a92b,J6,7.25
b742a5a92b,J7,7.0
b742a5a92b,J8,7.5
b742a5a92b,J9,7.0
ad3b81e70d,J1,8.25
ad3b81e70d,J2,7.5
ad3b81e70d,J3,7.0
ad3b81e70d,J4,7.25
ad3b81e70d,J5,7.5
ad3b81e70d,J6,7.0
ad3b81e70d,J7,7.25
ad3b81e70d,J8,7.0
ad3b81e70d,J9,6.75
7a618e242e,J1,1
7a618e242e,J2,2
7a618e242e,J3,1
7a618e242e,J4,2
7a618e242e,J5,2
7a618e242e,J6,2
7a618e242e,J7,2
7a618e242e,J8,2
7a618e242e,J9,1
2f845b19f6,J1,-3
2f845b19f6,J2,-1
2f845b19f6,J3,-2
2f845b19f6,J4,-2
2f845b19f6,J5,-3
2f845b19f6,J6,-3
2f845b19f6,J7,-2
2f845b19f6,J8,-2
2f845b19f6,J9,-2
23bbc3aa93,J1,3
23bbc3aa93,J2,3
23bbc3aa93,J3,2
23bbc3aa93,J4,3
23bbc3aa93,J5,3
23bbc3aa93,J6,1
23bbc3aa93,J7,3
23bbc3aa93,J8,2
23bbc3aa93,J9,1
52985adf9b,J1,0
52985adf9b,J2,2
52985adf9b,J3,1
52985adf9b,J4,1
52985adf9b,J5,2
52985adf9b,J6,2
52985adf9b,J7,2
52985adf9b,J8,2
52985adf9b,J9,2
9a82f04e1b,J1,2
9a82f04e1b,J2,2
9a82f04e1b,J3,2
9a82f04e1b,J4,2
9a82f04e1b,J5,2
9a82f04e1b,J6,2
9a82f04e1b,J7,2
9a82f04e1b,J8,2
9a82f04e1b,J9,2
2d247e895e,J1,0
2d247e895e,J2,-1
2d247e895e,J3,0
2d247e895e,J4,1
2d247e895e,J5,2
2d247e895e,J6,0
2d247e895e,J7,2
2d247e895e,J8,1
2d247e895e,J9,1
f2bc8b349c,J1,7.5
f2bc8b349c,J2,7.75
f2bc8b349c,J3,7.5
f2bc8b349c,J4,7.25
f2bc8b349c,J5,7.75
f2bc8b349c,J6,7.75
f2bc8b349c,J7,7.25
f2bc8b349c,J8,7.25
f2bc8b349c,J9,7.0
ae52e0ffd6,J1,7.0
ae52e0ffd6,J2,8.0
ae52e0ffd6,J3,7.5
ae52e0ffd6,J4,7.75
ae52e0ffd6,J5,7.25
ae52e0ffd6,J6,7.75
ae52e0ffd6,J7,7.25
ae52e0ffd6,J8,7.5
ae52e0ffd6,J9,7.25
a81a8ff1c7,J1,7.0
a81a8ff1c7,J2,7.75
a81a8ff1c7,J3,7.25
a81a8ff1c7,J4,7.5
a81a8ff1c7,J5,7.5
a81a8ff1c7,J6,7.5
a81a8ff1c7,J7,7.5
a81a8ff1c7,J8,7.5
a81a8ff1c7,J9,7.0
7cd8148c6d,J1,0
7cd8148c6d,J2,1
7cd8148c6d,J3,1
7cd8148c6d,J4,-2
7cd8148c6d,J5,2
7cd8148c6d,J6,1
7cd8148c6d,J7,2
7cd8148c6d,J8,0
7cd8148c6d,J9,0
2a7f9802af,J1,-2
2a7f9802af,J2,0
2a7f9802af,J3,-1
2a7f9802af,J4,-1
2a7f9802af,J5,-1
2a7f9802af,J6,-2
2a7f9802af,J7,0
2a7f9802af,J8,-2
2a7f9802af,J9,-2
a25b130aa4,J1,3
a25b130aa4,J2,3
a25b130aa4,J3,3
a25b130aa4,J4,2
a25b130aa4,J5,2
a25b130aa4,J6,2
a25b130aa4,J7,3
a25b130aa4,J8,4
a25b130aa4,J9,4
f1e7c9f61c,J1,0
f1e7c9f61c,J2,1
f1e7c9f61c,J3,1
f1e7c9f61c,J4,0
f1e7c9f61c,J5,1
f1e7c9f61c,J6,0
f1e7c9f61c,J7,1
f1e7c9f61c,J8,0
f1e7c9f61c,J9,0
2a0b7ea1f1,J1,2
2a0b7ea1f1,J2,2
2a0b7ea1f1,J3,2
2a0b7ea1f1,J4,2
2a0b7ea1f1,J5,3
2a0b7ea1f1,J6,2
2a0b7ea1f1,J7,3
2a0b7ea1f1,J8,3
2a0b7ea1f1,J9,2
e9f803c3f4,J1,1
e9f803c3f4,J2,0
e9f803c3f4,J3,1
e9f803c3f4,J4,1
e9f803c3f4,J5,1
e9f803c3f4,J6,1
e9f803c3f4,J7,2
e9f803c3f4,J8,1
e9f803c3f4,J9,2
2c6a58b571,J1,8.25
2c6a58b571,J2,8.0
2c6a58b571,J3,7.75
2c6a58b571,J4,7.25
2c6a58b571,J5,8.0
2c6a58b571,J6,8.25
2c6a58b571,J7,7.75
2c6a58b571,J8,8.25
2c6a58b571,J9,8.25
7cd540c628,J1,7.75
7cd540c628,J2,7.5
7cd540c628,J3,8.0
7cd540c628,J4,7.25
7cd540c628,J5,7.25
7cd540c628,J6,8.25
7cd540c628,J7,7.5
7cd540c628,J8,8.0
7cd540c628,J9,8.25
757983b5bd,J1,7.75
757983b5bd,J2,7.75
757983b5bd,J3,7.5
757983b5bd,J4,7.0
757983b5bd,J5,7.5
757983b5bd,J6,7.5
757983b5bd,J7,7.5
757983b5bd,J8,7.75
757983b5bd,J9,8.0
e5b47c1d6f,J1,2
e5b47c1d6f,J2,2
e5b47c1d6f,J3,2
e5b47c1d6f,J4,1
e5b47c1d6f,J5,2
e5b47c1d6f,J6,1
e5b47c1d6f,J7,1
e5b47c1d6f,J8,2
e5b47c1d6f,J9,2
d38c125e1f,J1,-2
d38c125e1f,J2,-2
d38c125e1f,J3,-1
d38c125e1f,J4,-2
d38c125e1f,J5,-2
d38c125e1f,J6,-2
d38c125e1f,J7,-2
d38c125e1f,J8,-2
d38c125e1f,J9,-2
9f687d786f,J1,2
9f687d786f,J2,2
9f687d786f,J3,0
9f687d786f,J4,0
9f687d786f,J5,1
9f687d786f,J6,1
9f687d786f,J7,1
9f687d786f,J8,1
9f687d786f,J9,1
072c601192,J1,0
072c601192,J2,1
072c601192,J3,1
072c601192,J4,0
072c601192,J5,1
072c601192,J6,0
072c601192,J7,2
072c601192,J8,1
072c601192,J9,1
9479a89d5c,J1,2
9479a89d5c,J2,3
9479a89d5c,J3,1
9479a89d5c,J4,2
9479a89d5c,J5,2
9479a89d5c,J6,1
9479a89d5c,J7,2
9479a89d5c,J8,3
9479a89d5c,J9,2
96ea17ffa9,J1,1
96ea17ffa9,J2,1
96ea17ffa9,J3,-2
96ea17ffa9,J4,-2
96ea17ffa9,J5,-1
96ea17ffa9,J6,0
96ea17ffa9,J7,0
96ea17ffa9,J8,-1
96ea17ffa9,J9,1
1180700cd8,J1,1
1180700cd8,J2,2
1180700cd8,J3,1
1180700cd8,J4,0
1180700cd8,J5,2
1180700cd8,J6,0
1180700cd8,J7,1
1180700cd8,J8,3
1180700cd8,J9,2
5d2e77311f,J1,7.5
5d2e77311f,J2,7.25
5d2e77311f,J3,7.0
5d2e77311f,J4,6.25
5d2e77311f,J5,6.75
5d2e77311f,J6,6.75
5d2e77311f,J7,6.0
5d2e77311f,J8,6.75
5d2e77311f,J9,5.75
e23dab43eb,J1,7.25
e23dab43eb,J2,7.25
e23dab43eb,J3,7.25
e23dab43eb,J4,6.5
e23dab43eb,J5,6.75
e23dab43eb,J6,7.0
e23dab43eb,J7,6.5
e23dab43eb,J8,7.0
e23dab43eb,J9,6.25
2e7f980535,J1,7.5
2e7f980535,J2,7.75
2e7f980535,J3,6.75
2e7f980535,J4,6.25
2e7f980535,J5,6.5
2e7f980535,J6,6.75
2e7f980535,J7,6.25
2e7f980535,J8,6.75
2e7f980535,J9,6.5
ee460bdef1,J1,2
ee460bdef1,J2,-1
ee460bdef1,J3,-2
ee460bdef1,J4,-3
ee460bdef1,J5,-1
ee460bdef1,J6,-1
ee460bdef1,J7,0
ee460bdef1,J8,-1
ee460bdef1,J9,-2
660f1d784e,J1,-2
660f1d784e,J2,-2
660f1d784e,J3,-1
660f1d784e,J4,-2
660f1d784e,J5,-2
660f1d784e,J6,-2
660f1d784e,J7,-1
660f1d784e,J8,-2
660f1d784e,J9,-2
7a832f068a,J1,2
7a832f068a,J2,2
7a832f068a,J3,1
7a832f068a,J4,1
7a832f068a,J5,1
7a832f068a,J6,0
7a832f068a,J7,2
7a832f068a,J8,1
7a832f068a,J9,2
f2f7f21f7c,J1,2
f2f7f21f7c,J2,1
f2f7f21f7c,J3,1
f2f7f21f7c,J4,1
f2f7f21f7c,J5,2
f2f7f21f7c,J6,1
f2f7f21f7c,J7,1
f2f7f21f7c,J8,2
f2f7f21f7c,J9,1
e1b361048a,J1,2
e1b361048a,J2,1
e1b361048a,J3,0
e1b361048a,J4,1
e1b361048a,J5,1
e1b361048a,J6,1
e1b361048a,J7,1
e1b361048a,J8,1
e1b361048a,J9,2
d0824095ff,J1,2
d0824095ff,J2,2
d0824095ff,J3,1
d0824095ff,J4,2
d0824095ff,J5,2
d0824095ff,J6,2
d0824095ff,J7,2
d0824095ff,J8,3
d0824095ff,J9,2
