performance_id,competition,program,name,nation,rank,starting_number,total_segment_score,total_element_score,total_component_score,total_deductions
a20f75f93c,ec2025_protocol,PAIRS SHORT PROGRAM,Sara CONTI / Niccolo MACII,ITA,2,17,68.52,35.27,33.25,0.0
5291fa38fd,ec2025_protocol,PAIRS SHORT PROGRAM,Maria PAVLOVA / Alexei SVIATCHENKO,HUN,3,15,65.88,35.53,30.35,0.0
e3714f6e13,ec2025_protocol,PAIRS SHORT PROGRAM,Anastasia VAIPAN-LAW / Luke DIGBY,GBR,4,11,64.83,35.8,29.03,0.0
7ca2564893,ec2025_protocol,PAIRS SHORT PROGRAM,Annika HOCKE / Robert KUNKEL,GER,5,13,62.68,33.01,29.67,0.0
5a00b43f88,ec2025_protocol,PAIRS SHORT PROGRAM,Rebecca GHILARDI / Filippo AMBROSINI,ITA,6,16,60.95,29.83,31.12,0.0
9c57e852cb,ec2025_protocol,PAIRS SHORT PROGRAM,Ioulia CHTCHETININA / Michal WOZNIAK,POL,7,10,60.31,33.35,26.96,0.0
c5b2cc990c,ec2025_protocol,PAIRS SHORT PROGRAM,Camille KOVALEV / Pavel KOVALEV,FRA,8,9,57.13,30.21,26.92,0.0
025d31b037,ec2025_protocol,PAIRS SHORT PROGRAM,Sofiia HOLICHENKO / Artem DARENSKYI,UKR,10,3,56.73,31.6,25.13,0.0
78877cd19f,ec2025_protocol,PAIRS SHORT PROGRAM,Letizia ROSCHER / Luis SCHUSTER,GER,12,5,55.18,29.85,25.33,0.0
6afca8b02c,ec2025_protocol,PAIRS SHORT PROGRAM,Oxana VOUILLAMOZ / Tom BOUVART,SUI,13,2,54.62,30.07,24.55,0.0
7d4c17f9c1,ec2025_protocol,PAIRS SHORT PROGRAM,Sophia SCHALLER / Livio MAYR,AUT,15,4,52.11,27.88,24.23,0.0
78c63b5777,ec2025_protocol,PAIRS SHORT PROGRAM,Greta CRAFOORD / John CRAFOORD,SWE,17,6,49.14,25.11,24.03,0.0
f2dadd93b2,ec2025_protocol,PAIRS SHORT PROGRAM,Julia Sylvia GUNNARSDOTTIR / Manuel PIAZZA,ISL,18,1,48.58,27.06,21.52,0.0
56deca7433,ec2025_protocol,PAIRS FREE SKATING,Minerva Fabienne HASE / Nikita VOLODIN,GER,1,16,140.89,70.7,70.19,0.0
0278fd5ace,ec2025_protocol,PAIRS FREE SKATING,Sara CONTI / Niccolo MACII,ITA,2,15,138.37,69.88,68.49,0.0
e2e5446dac,ec2025_protocol,PAIRS FREE SKATING,Anastasiia METELKINA / Luka BERULAVA,GEO,3,8,134.85,71.34,63.51,0.0
888e4d2102,ec2025_protocol,PAIRS FREE SKATING,Ioulia CHTCHETININA / Michal WOZNIAK,POL,7,10,117.55,60.07,57.48,0.0
a4c40d9cfb,ec2025_protocol,PAIRS FREE SKATING,Daria DANILOVA / Michel TSIBA,NED,10,6,110.32,57.37,52.95,0.0
9a8c9f380f,ec2025_protocol,PAIRS FREE SKATING,Letizia ROSCHER / Luis SCHUSTER,GER,13,5,102.97,52.06,50.91,0.0
5edce5ccae,ec2025_protocol,PAIRS FREE SKATING,Sophia SCHALLER / Livio MAYR,AUT,16,2,90.2,45.55,44.65,0.0
135eb13340,ec2025_protocol,WOMEN SHORT PROGRAM,Anastasiia GUBANOVA,GEO,1,29,68.99,37.31,31.68,0.0
550252365c,ec2025_protocol,WOMEN SHORT PROGRAM,Niina PETROKINA,EST,2,28,68.94,37.45,31.49,0.0
bcdf0b53eb,ec2025_protocol,WOMEN SHORT PROGRAM,Kimmy REPOND,SUI,3,31,68.68,37.09,31.59,0.0
98d4e1ccf7,ec2025_protocol,WOMEN SHORT PROGRAM,Nina PINZARRONE,BEL,4,30,66.8,35.51,31.29,0.0
8411584fd3,ec2025_protocol,WOMEN SHORT PROGRAM,Lara Naki GUTMANN,ITA,5,26,63.79,33.24,30.55,0.0
a9e0b62b28,ec2025_protocol,WOMEN SHORT PROGRAM,Anna PEZZETTA,ITA,6,20,62.73,33.18,29.55,0.0
6d07162b5f,ec2025_protocol,WOMEN SHORT PROGRAM,Lorine SCHILD,FRA,7,25,62.47,34.49,27.98,0.0
e35845b2cb,ec2025_protocol,WOMEN SHORT PROGRAM,Julia SAUTER,ROU,8,24,61.96,33.03,28.93,0.0
5a8edd2964,ec2025_protocol,WOMEN SHORT PROGRAM,Ekaterina KURAKOVA,POL,9,27,58.7,29.3,29.4,0.0
24388718fa,ec2025_protocol,WOMEN SHORT PROGRAM,Kristen SPOURS,GBR,10,15,57.39,31.5,25.89,0.0
6ae0e6260f,ec2025_protocol,WOMEN SHORT PROGRAM,Jade HOVINE,BEL,11,13,56.19,30.68,25.51,0.0
e101a64b6c,ec2025_protocol,WOMEN SHORT PROGRAM,Linnea CEDER,FIN,12,12,54.82,28.88,25.94,0.0
69a20176c2,ec2025_protocol,WOMEN SHORT PROGRAM,Mariia SENIUK,ISR,13,22,53.86,27.37,26.49,0.0
a8cbf8228f,ec2025_protocol,WOMEN SHORT PROGRAM,Alexandra FEIGIN,BUL,14,21,53.32,27.86,25.46,0.0
3d10804f4d,ec2025_protocol,WOMEN SHORT PROGRAM,Jogaile AGLINSKYTE,LTU,19,1,50.11,27.09,23.02,0.0
c1e2eb173a,ec2025_protocol,WOMEN SHORT PROGRAM,Julija LOVRENCIC,SLO,20,7,49.4,27.97,21.43,0.0
a2654ce8d0,ec2025_protocol,WOMEN SHORT PROGRAM,Stefanie PESENDORFER,AUT,21,10,48.95,24.76,24.19,0.0
029164e635,ec2025_protocol,WOMEN SHORT PROGRAM,Vanesa SELMEKOVA,SVK,22,11,48.94,25.8,23.14,0.0
e90a17b407,ec2025_protocol,WOMEN SHORT PROGRAM,Anastasija KONGA,LAT,23,6,47.79,26.45,21.34,0.0
e2c1dd27d0,ec2025_protocol,WOMEN SHORT PROGRAM,Michaela VRASTAKOVA,CZE,24,2,47.76,26.48,21.28,0.0
a98ec14287,ec2025_protocol,WOMEN SHORT PROGRAM,Antonina DUBININA,SRB,25,9,44.36,22.56,21.8,0.0
36a06139f9,ec2025_protocol,WOMEN SHORT PROGRAM,Anastasia GOZHVA,UKR,27,16,42.21,19.45,22.76,0.0
dbe28d6c8a,ec2025_protocol,WOMEN SHORT PROGRAM,Kristina ISAEV,GER,28,14,40.65,17.06,23.59,0.0
9091f94043,ec2025_protocol,WOMEN SHORT PROGRAM,Katinka Anna ZSEMBERY,HUN,29,5,40.59,18.37,22.22,0.0
8e9191af74,ec2025_protocol,WOMEN FREE SKATING,Anastasiia GUBANOVA,GEO,2,24,129.62,64.69,64.93,0.0
747026b759,ec2025_protocol,WOMEN FREE SKATING,Nina PINZARRONE,BEL,3,21,124.64,61.04,63.6,0.0
66149b6988,ec2025_protocol,WOMEN FREE SKATING,Anna PEZZETTA,ITA,4,19,123.46,63.09,60.37,0.0
6ad178895f,ec2025_protocol,WOMEN FREE SKATING,Lara Naki GUTMANN,ITA,6,20,117.72,55.93,61.79,0.0
4dd31f587f,ec2025_protocol,WOMEN FREE SKATING,Lea SERNA,FRA,7,8,113.37,57.22,56.15,0.0
996c1fd7e0,ec2025_protocol,WOMEN FREE SKATING,Mia RISA GOMEZ,NOR,8,9,110.99,59.59,51.4,0.0
e1fe08224d,ec2025_protocol,WOMEN FREE SKATING,Kristen SPOURS,GBR,9,15,110.82,56.85,53.97,0.0
a14a1c4fc5,ec2025_protocol,WOMEN FREE SKATING,Julia SAUTER,ROU,10,17,110.68,55.95,54.73,0.0
3faee92037,ec2025_protocol,WOMEN FREE SKATING,Alexandra FEIGIN,BUL,12,11,105.94,56.25,49.69,0.0
8e43a3de00,ec2025_protocol,WOMEN FREE SKATING,Linnea CEDER,FIN,15,13,101.19,48.05,53.14,0.0
94d89dd8f6,ec2025_protocol,WOMEN FREE SKATING,Jade HOVINE,BEL,16,14,98.27,47.46,50.81,0.0
de665278ef,ec2025_protocol,WOMEN FREE SKATING,Josefin TALJEGARD,SWE,17,10,96.55,41.15,55.4,0.0
d45e3a144d,ec2025_protocol,WOMEN FREE SKATING,Michaela VRASTAKOVA,CZE,19,1,88.08,46.78,41.3,0.0
54f8481f89,ec2025_protocol,WOMEN FREE SKATING,Anastasija KONGA,LAT,21,2,85.98,44.7,41.28,0.0
e5b919f735,ec2025_protocol,ICE DANCE RHYTHM DANCE,Charlene GUIGNARD / Marco FABBRI,ITA,1,30,84.23,47.38,36.85,0.0
9751b61786,ec2025_protocol,ICE DANCE RHYTHM DANCE,Evgeniia LOPAREVA / Geoffrey BRISSAUD,FRA,2,29,82.75,47.03,35.72,0.0
4d43be6772,ec2025_protocol,ICE DANCE RHYTHM DANCE,Lilah FEAR / Lewis GIBSON,GBR,3,28,81.57,45.51,36.06,0.0
f7d6dd720a,ec2025_protocol,ICE DANCE RHYTHM DANCE,Juulia TURKKILA / Matthias VERSLUIS,FIN,4,26,81.26,46.21,35.05,0.0
7a33250f46,ec2025_protocol,ICE DANCE RHYTHM DANCE,Allison REED / Saulius AMBRULEVICIUS,LTU,5,27,78.67,43.85,34.82,0.0
67dc331eca,ec2025_protocol,ICE DANCE RHYTHM DANCE,Loicia DEMOUGEOT / Theo le MERCIER,FRA,6,25,76.14,43.31,32.83,0.0
0184cf0ec3,ec2025_protocol,ICE DANCE RHYTHM DANCE,Olivia SMART / Tim DIECK,ESP,7,21,76.13,43.21,32.92,0.0
ee96a9c6c6,ec2025_protocol,ICE DANCE RHYTHM DANCE,Yuka ORIHARA / Juho PIRINEN,FIN,8,22,75.7,43.32,32.38,0.0
330f7b3f7b,ec2025_protocol,ICE DANCE RHYTHM DANCE,Jennifer JANSE van RENSBURG / Benjamin STEFFAN,GER,9,20,75.45,43.42,32.03,0.0
15bbd55473,ec2025_protocol,ICE DANCE RHYTHM DANCE,Diana DAVIS / Gleb SMOLKIN,GEO,10,19,73.82,41.32,32.5,0.0
b753c7b9bd,ec2025_protocol,ICE DANCE RHYTHM DANCE,Natalie TASCHLEROVA / Filip TASCHLER,CZE,11,24,73.44,40.28,33.16,0.0
6812d87476,ec2025_protocol,ICE DANCE RHYTHM DANCE,Katerina MRAZKOVA / Daniel MRAZEK,CZE,12,23,70.26,38.53,31.73,0.0
c281a264c2,ec2025_protocol,ICE DANCE RHYTHM DANCE,Phebe BEKKER / James HERNANDEZ,GBR,13,17,68.13,37.97,30.16,0.0
8793ea7732,ec2025_protocol,ICE DANCE RHYTHM DANCE,Mariia IGNATEVA / Danijil Leonyidovics SZEMKO,HUN,14,12,67.1,37.54,29.56,0.0
99173775cb,ec2025_protocol,ICE DANCE RHYTHM DANCE,Natacha LAGOUGE / Arnaud CAFFA,FRA,15,11,65.6,37.25,28.35,0.0
8fedd6c017,ec2025_protocol,ICE DANCE RHYTHM DANCE,Victoria MANNI / Carlo ROETHLISBERGER,ITA,16,14,65.46,36.95,28.51,0.0
12c8f3d87f,ec2025_protocol,ICE DANCE RHYTHM DANCE,Milla Ruud REITAN / Nikolaj MAJOROV,SWE,17,8,62.19,34.78,27.41,0.0
c3d3fd998a,ec2025_protocol,ICE DANCE RHYTHM DANCE,Paulina RAMANAUSKAITE / Deividas KIZALA,LTU,18,10,61.56,34.74,26.82,0.0
54b0dea3d3,ec2025_protocol,ICE DANCE RHYTHM DANCE,Carolane SOUCISSE / Shane FIRUS,IRL,19,15,61.56,33.57,27.99,0.0
e91595ae00,ec2025_protocol,ICE DANCE RHYTHM DANCE,Mariia PINCHUK / Mykyta POGORIELOV,UKR,20,18,60.69,31.89,28.8,0.0
db4129548b,ec2025_protocol,ICE DANCE RHYTHM DANCE,Angelina KUDRYAVTSEVA / Ilia KARANKEVICH,CYP,21,6,59.38,33.36,26.02,0.0
31d445cf64,ec2025_protocol,ICE DANCE RHYTHM DANCE,Sofiia DOVHAL / Wiktor KULESZA,POL,24,9,52.52,27.47,25.05,0.0
4048f2d03e,ec2025_protocol,ICE DANCE RHYTHM DANCE,Samantha RITTER / Daniel BRYKALOV,AZE,25,1,51.56,29.32,22.24,0.0
da1e0c2eb0,ec2025_protocol,ICE DANCE RHYTHM DANCE,Emilia Monika ZIOBROWSKA / Shiloh Douglas JUDD,ROU,26,3,49.37,27.7,21.67,0.0
65ce81f3e1,ec2025_protocol,ICE DANCE RHYTHM DANCE,Katarina DELCAMP / Berk AKALIN,TUR,27,5,48.92,26.7,22.22,0.0
81e8e94d2f,ec2025_protocol,ICE DANCE RHYTHM DANCE,Hanna JAKUCS / Alessio GALLI,NED,28,4,48.76,25.43,23.33,0.0
f2e52620b9,ec2025_protocol,ICE DANCE RHYTHM DANCE,Kristina DOBROSERDOVA / Alessandro PELLEGRINI,ARM,29,2,48.3,25.56,22.74,0.0
106bfc9951,ec2025_protocol,ICE DANCE FREE DANCE,Charlene GUIGNARD / Marco FABBRI,ITA,1,20,127.89,71.47,56.42,0.0
571753189b,ec2025_protocol,ICE DANCE FREE DANCE,Lilah FEAR / Lewis GIBSON,GBR,2,18,124.45,69.61,54.84,0.0
78102dfa2a,ec2025_protocol,ICE DANCE FREE DANCE,Juulia TURKKILA / Matthias VERSLUIS,FIN,3,17,124.43,69.57,54.86,0.0
11ae749452,ec2025_protocol,ICE DANCE FREE DANCE,Evgeniia LOPAREVA / Geoffrey BRISSAUD,FRA,4,19,124.01,69.43,54.58,0.0
e1d12a6d42,ec2025_protocol,ICE DANCE FREE DANCE,Olivia SMART / Tim DIECK,ESP,5,14,122.85,69.79,53.06,0.0
395d947bfd,ec2025_protocol,ICE DANCE FREE DANCE,Yuka ORIHARA / Juho PIRINEN,FIN,6,13,118.24,67.6,50.64,0.0
6f67e54fd8,ec2025_protocol,ICE DANCE FREE DANCE,Allison REED / Saulius AMBRULEVICIUS,LTU,7,16,117.99,65.85,52.14,0.0
11f90d9e87,ec2025_protocol,ICE DANCE FREE DANCE,Diana DAVIS / Gleb SMOLKIN,GEO,8,11,116.33,66.99,49.34,0.0
cc0ed4a3ce,ec2025_protocol,ICE DANCE FREE DANCE,Natalie TASCHLEROVA / Filip TASCHLER,CZE,9,10,115.05,65.69,49.36,0.0
3e9f69d55b,ec2025_protocol,ICE DANCE FREE DANCE,Loicia DEMOUGEOT / Theo le MERCIER,FRA,10,15,113.87,63.57,50.3,0.0
2f9db1e1a1,ec2025_protocol,ICE DANCE FREE DANCE,Jennifer JANSE van RENSBURG / Benjamin STEFFAN,GER,11,12,111.42,62.94,48.48,0.0
9cfc6cbd0f,ec2025_protocol,ICE DANCE FREE DANCE,Katerina MRAZKOVA / Daniel MRAZEK,CZE,12,9,111.41,63.43,47.98,0.0
140c5ac616,ec2025_protocol,ICE DANCE FREE DANCE,Phebe BEKKER / James HERNANDEZ,GBR,13,8,107.89,61.53,46.36,0.0
abf09db6bf,ec2025_protocol,ICE DANCE FREE DANCE,Victoria MANNI / Carlo ROETHLISBERGER,ITA,15,5,103.68,59.46,44.22,0.0
9b678a68ac,ec2025_protocol,ICE DANCE FREE DANCE,Natacha LAGOUGE / Arnaud CAFFA,FRA,16,6,101.49,57.07,44.42,0.0
5bfedb5b22,ec2025_protocol,ICE DANCE FREE DANCE,Carolane SOUCISSE / Shane FIRUS,IRL,17,2,100.2,58.0,42.2,0.0
eec6a04282,ec2025_protocol,ICE DANCE FREE DANCE,Milla Ruud REITAN / Nikolaj MAJOROV,SWE,18,4,100.05,56.99,43.06,0.0
c2737450f3,ec2025_protocol,ICE DANCE FREE DANCE,Paulina RAMANAUSKAITE / Deividas KIZALA,LTU,19,3,95.5,53.42,42.08,0.0
16f7b366b9,ec2025_protocol,ICE DANCE FREE DANCE,Mariia PINCHUK / Mykyta POGORIELOV,UKR,20,1,95.29,52.93,42.36,0.0
abe4e306c3,ec2025_protocol,MEN SHORT PROGRAM,Adam SIAO HIM FA,FRA,1,34,93.12,49.58,43.54,0.0
6c14164e91,ec2025_protocol,MEN SHORT PROGRAM,Nika EGADZE,GEO,2,29,91.94,53.17,38.77,0.0
a683aa4297,ec2025_protocol,MEN SHORT PROGRAM,Vladimir SAMOILOV,POL,3,24,85.98,48.63,37.35,0.0
a56a9c3563,ec2025_protocol,MEN SHORT PROGRAM,Matteo RIZZO,ITA,4,32,85.68,44.42,41.26,0.0
001a5932be,ec2025_protocol,MEN SHORT PROGRAM,Nikolaj MEMOLA,ITA,5,28,84.92,46.99,37.93,0.0
635982f069,ec2025_protocol,MEN SHORT PROGRAM,Mihhail SELEVKO,EST,6,19,84.85,45.6,39.25,0.0
c4b3e8fa4b,ec2025_protocol,MEN SHORT PROGRAM,Aleksandr SELEVKO,EST,7,27,84.65,43.46,41.19,0.0
94e1d5852b,ec2025_protocol,MEN SHORT PROGRAM,Lukas BRITSCHGI,SUI,8,33,82.9,41.34,41.56,0.0
9c2301827e,ec2025_protocol,MEN SHORT PROGRAM,Andreas NORDEBACK,SWE,9,22,79.02,42.72,36.3,0.0
4addd6e5c3,ec2025_protocol,MEN SHORT PROGRAM,Vladimir LITVINTSEV,AZE,11,23,77.86,42.91,34.95,0.0
d7bcb35dea,ec2025_protocol,MEN SHORT PROGRAM,Deniss VASILJEVS,LAT,12,31,77.82,36.92,40.9,0.0
cf0a92525c,ec2025_protocol,MEN SHORT PROGRAM,Adam HAGARA,SVK,13,25,77.06,41.23,35.83,0.0
743a2a2b17,ec2025_protocol,MEN SHORT PROGRAM,Lev VINOKUR,ISR,14,11,76.35,42.83,33.52,0.0
bf262c75f1,ec2025_protocol,MEN SHORT PROGRAM,Fedir KULISH,LAT,15,15,74.48,42.05,32.43,0.0
6850fc8c19,ec2025_protocol,MEN SHORT PROGRAM,Edward APPLEBY,GBR,16,17,72.45,38.74,33.71,0.0
11902626e0,ec2025_protocol,MEN SHORT PROGRAM,Ivan SHMURATKO,UKR,17,18,71.53,36.69,34.84,0.0
1ecd0dce18,ec2025_protocol,MEN SHORT PROGRAM,Semen DANILIANTS,ARM,19,9,69.26,37.42,31.84,0.0
4ae5aa514c,ec2025_protocol,MEN SHORT PROGRAM,Tomas-Llorenc GUARINO SABATE,ESP,21,14,67.66,34.97,32.69,0.0
f94f58081a,ec2025_protocol,MEN SHORT PROGRAM,Aleksandr VLASENKO,HUN,22,13,67.25,35.94,31.31,0.0
9e615dd575,ec2025_protocol,MEN SHORT PROGRAM,Kornel WITKOWSKI,POL,23,7,65.21,31.64,33.57,0.0
e62d8e52c6,ec2025_protocol,MEN SHORT PROGRAM,Valtter VIRTANEN,FIN,24,8,65.18,31.82,33.36,0.0
6e8728f695,ec2025_protocol,MEN SHORT PROGRAM,Maurizio ZANDRON,AUT,26,21,63.79,30.91,32.88,0.0
21d8ec5536,ec2025_protocol,MEN SHORT PROGRAM,David SEDEJ,SLO,28,4,59.46,32.09,27.37,0.0
fcb1c6f739,ec2025_protocol,MEN SHORT PROGRAM,Alp Eren OZKAN,TUR,29,3,59.22,30.11,29.11,0.0
92afdadf47,ec2025_protocol,MEN SHORT PROGRAM,Filip SCERBA,CZE,31,1,58.3,28.54,29.76,0.0
ad888bcc29,ec2025_protocol,MEN SHORT PROGRAM,Daniel KORABELNIK,LTU,33,2,53.02,27.39,25.63,0.0
bb806bd1be,ec2025_protocol,MEN FREE SKATING,Lukas BRITSCHGI,SUI,1,17,184.19,98.31,85.88,0.0
4aea42adbc,ec2025_protocol,MEN FREE SKATING,Nikolaj MEMOLA,ITA,2,20,177.69,97.41,80.28,0.0
5855dbf3d7,ec2025_protocol,MEN FREE SKATING,Deniss VASILJEVS,LAT,4,13,161.88,77.99,83.89,0.0
97435b0678,ec2025_protocol,MEN FREE SKATING,Mihhail SELEVKO,EST,7,19,154.15,73.62,80.53,0.0
43533d6d26,ec2025_protocol,MEN FREE SKATING,Nika EGADZE,GEO,8,23,151.93,75.98,75.95,0.0
b26c7af213,ec2025_protocol,MEN FREE SKATING,Andreas NORDEBACK,SWE,9,16,148.09,72.66,75.43,0.0
883cc5a090,ec2025_protocol,MEN FREE SKATING,Adam HAGARA,SVK,10,12,147.08,76.34,70.74,0.0
e99ba2f859,ec2025_protocol,MEN FREE SKATING,Lev VINOKUR,ISR,12,11,144.69,76.2,68.49,0.0
b4879cd8b4,ec2025_protocol,MEN FREE SKATING,Fedir KULISH,LAT,14,10,139.85,72.89,66.96,0.0
a1e6b924b2,ec2025_protocol,MEN FREE SKATING,Ivan SHMURATKO,UKR,17,8,130.36,62.46,67.9,0.0
5c237c3c97,ec2025_protocol,MEN FREE SKATING,Edward APPLEBY,GBR,21,9,115.39,50.32,65.07,0.0
d894c8dfca,ec2025_protocol,MEN FREE SKATING,Valtter VIRTANEN,FIN,23,1,109.65,46.98,62.67,0.0
f687a317af,fc2025_protocol,PAIRS SHORT PROGRAM,Riku MIURA / Ryuichi KIHARA,JPN,1,11,74.73,39.73,35.0,0.0
a628377764,fc2025_protocol,PAIRS SHORT PROGRAM,Ellie KAM / Danny O'SHEA,USA,2,8,70.32,37.88,32.44,0.0
0339fde861,fc2025_protocol,PAIRS SHORT PROGRAM,Lia PEREIRA / Trennt MICHAUD,CAN,3,9,69.79,38.35,31.44,0.0
2f0f308509,fc2025_protocol,PAIRS SHORT PROGRAM,Deanna STELLATO-DUDEK / Maxime DESCHAMPS,CAN,4,10,69.66,36.5,33.16,0.0
c339c784a8,fc2025_protocol,PAIRS SHORT PROGRAM,Alisa EFIMOVA / Misha MITROFANOV,USA,5,4,67.59,37.24,30.35,0.0
3f38111b78,fc2025_protocol,PAIRS SHORT PROGRAM,Anastasia GOLUBEVA / Hektor GIOTOPOULOS MOORE,AUS,6,6,65.36,35.72,29.64,0.0
d26b9d558a,fc2025_protocol,PAIRS SHORT PROGRAM,Kelly Ann LAURIN / Loucas ETHIER,CAN,7,7,62.9,35.06,27.84,0.0
44ea0f9eee,fc2025_protocol,PAIRS SHORT PROGRAM,Ekaterina GEYNISH / Dmitrii CHIGIREV,UZB,8,2,61.94,34.31,27.63,0.0
d0e2731ecf,fc2025_protocol,PAIRS SHORT PROGRAM,Yuna NAGAOKA / Sumitada MORIGUCHI,JPN,9,3,57.29,29.65,27.64,0.0
40fa7f2b14,fc2025_protocol,PAIRS SHORT PROGRAM,Isabella GAMEZ / Aleksandr KOROVIN,PHI,11,5,50.95,25.95,25.0,0.0
c9d8ca80a8,fc2025_protocol,PAIRS FREE SKATING,Riku MIURA / Ryuichi KIHARA,JPN,1,11,142.59,71.46,71.13,0.0
0eaabc0698,fc2025_protocol,PAIRS FREE SKATING,Deanna STELLATO-DUDEK / Maxime DESCHAMPS,CAN,2,8,141.26,72.88,68.38,0.0
3d60ca3339,fc2025_protocol,PAIRS FREE SKATING,Lia PEREIRA / Trennt MICHAUD,CAN,3,9,128.61,63.78,64.83,0.0
8ef28e10f7,fc2025_protocol,PAIRS FREE SKATING,Yuna NAGAOKA / Sumitada MORIGUCHI,JPN,6,3,117.47,60.63,56.84,0.0
89e8d2290a,fc2025_protocol,MEN SHORT PROGRAM,Mikhail SHAIDOROV,KAZ,1,22,94.73,55.78,38.95,0.0
f7122632e1,fc2025_protocol,MEN SHORT PROGRAM,Jimmy MA,USA,2,14,82.52,44.46,38.06,0.0
4fbb8bf137,fc2025_protocol,MEN SHORT PROGRAM,Kazuki TOMONO,JPN,3,19,79.84,39.04,40.8,0.0
7efce217c2,fc2025_protocol,MEN SHORT PROGRAM,Junhwan CHA,KOR,4,23,79.24,37.43,41.81,0.0
ca8237a112,fc2025_protocol,MEN SHORT PROGRAM,Matthew NEWNHAM,CAN,7,3,73.81,39.87,33.94,0.0
b8fcd61a5f,fc2025_protocol,MEN SHORT PROGRAM,Hyungyeom KIM,KOR,8,20,73.62,38.89,34.73,0.0
121cbba524,fc2025_protocol,MEN SHORT PROGRAM,Zhiming PENG,CHN,10,5,70.21,39.73,30.48,0.0
9c59040a6d,fc2025_protocol,MEN SHORT PROGRAM,Donovan CARRILLO,MEX,13,10,68.5,32.97,35.53,0.0
2daf325a54,fc2025_protocol,MEN SHORT PROGRAM,Tomoki HIWATASHI,USA,15,8,65.88,32.17,33.71,0.0
bcde206712,fc2025_protocol,MEN SHORT PROGRAM,Darian KAPTICH,AUS,18,7,56.6,26.47,30.13,0.0
996e2bcc11,fc2025_protocol,MEN SHORT PROGRAM,Chiu Hei CHEUNG,HKG,19,1,54.73,28.48,26.25,0.0
6b6cec0c12,fc2025_protocol,MEN SHORT PROGRAM,Dias JIRENBAYEV,KAZ,20,11,52.97,19.73,33.24,0.0
ae0aba0dc0,fc2025_protocol,MEN FREE SKATING,Mikhail SHAIDOROV,KAZ,1,22,190.37,109.02,81.35,0.0
b1973962be,fc2025_protocol,MEN FREE SKATING,Junhwan CHA,KOR,2,19,185.78,95.27,90.51,0.0
9f28cfce50,fc2025_protocol,MEN FREE SKATING,Kazuki TOMONO,JPN,4,20,162.24,79.69,82.55,0.0
c135b296da,fc2025_protocol,MEN FREE SKATING,Tatsuya TSUBOI,JPN,5,17,156.86,81.71,75.15,0.0
0fba94672a,fc2025_protocol,MEN FREE SKATING,Hyungyeom KIM,KOR,6,15,152.5,82.44,70.06,0.0
47ae55782a,fc2025_protocol,MEN FREE SKATING,Yu-Hsiang LI,TPE,10,6,142.42,77.12,65.3,0.0
19fce32b0b,fc2025_protocol,MEN FREE SKATING,Roman SADOVSKY,CAN,11,14,141.05,65.29,75.76,0.0
a72f19d007,fc2025_protocol,MEN FREE SKATING,Donovan CARRILLO,MEX,12,10,140.23,69.46,70.77,0.0
